method,seed,trial,cost,safety_margin,safe,violation_steps,best_safe_cost,cumulative_unsafe_trials,predicted_safety_lcb,Kp1,Ki1,Kp2,Ki2
random,1,25,0.3441081070851778,0.2145332040455722,True,0,0.3208716166348468,9,,0.9399314903318746,0.01101289117045698,5.771600112118862,0.2583782187842977
random,1,26,0.39311314995284147,0.4541326067211626,True,0,0.3208716166348468,9,,0.40164793798892107,0.17011094072781593,0.4779059964570789,0.00824790047887185
random,1,27,0.3733900273200378,1.0127157129881925,True,0,0.3208716166348468,9,,7.897653408007403,0.017047248296607368,1.4801026498918102,0.004307675339808605
random,1,28,0.36583337229291685,0.9361921357095848,True,0,0.3208716166348468,9,,0.7291831418621597,0.03273573932752849,2.5640788061227147,0.01055088653632107
random,1,29,0.34783032894090377,0.06445655606086009,True,0,0.3208716166348468,9,,1.690771799926278,0.05520334931565629,2.7741444040328767,0.6067143401978904
random,1,30,0.33951150514400824,0.6176203451407813,True,0,0.3208716166348468,9,,2.6320666719107204,0.0033957494364293818,3.292324824789552,0.041414249625773426
bo,1,1,0.3533327242378745,0.6357856494096276,True,0,0.3533327242378745,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
bo,1,2,0.3522182599179735,0.5040871934604907,True,0,0.3522182599179735,0,,2.326254037348541,0.029999999999999995,2.0,0.029999999999999995
bo,1,3,0.3532166394972259,0.608537693006358,True,0,0.3522182599179735,0,,2.0,0.037289383635559184,2.0,0.029999999999999995
bo,1,4,0.35028798826727836,0.6811989100817439,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
bo,1,5,0.35124748566585556,0.6766575840145322,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.037289383635559184
bo,1,6,0.3414236143983265,-0.13623978201634857,False,30,0.35028798826727836,1,,2.304356645249352,1.0086011569655056,2.560473092244744,0.04797785700066946
bo,1,7,0.33253938147588763,0.13623978201634857,True,0,0.33253938147588763,1,,2.9299632410195526,0.5004466662585982,3.9125472596256112,0.07200040905975322
bo,1,8,0.3268449033856803,-0.2588555858310626,False,57,0.33253938147588763,2,,6.389762089177211,0.3964077973838384,4.563587660750116,0.2056129238833734
bo,1,9,0.33440384707193227,-1.221616712079927,False,269,0.33253938147588763,3,,27.614118651724603,0.014549998834350205,7.84964463218801,0.10049911026087649
bo,1,10,0.3263736306325845,-0.27247956403269713,False,60,0.33253938147588763,4,,2.356662759492327,1.344094161511451,6.736671906436214,0.9764892742783288
bo,1,11,0.32672698288049395,-0.5040871934604907,False,111,0.33253938147588763,5,,22.58722517510621,1.4005768596073611,3.547123167525078,1.44835475045745
bo,1,12,0.33493931643083014,-1.3987284287011803,False,308,0.33253938147588763,6,,2.3784129611284595,1.1683226063885959,29.967492549785575,0.8161908515833362
bo,1,13,0.3361756753396019,0.6079047271550675,True,0,0.33253938147588763,6,,0.9193594359251203,0.00487082743711218,4.327402337391606,1.0983135660499932
bo,1,14,0.33869868865999936,-0.8446866485013627,False,186,0.33253938147588763,7,,1.4802645511853214,1.0703276758583624,24.33087535286006,0.004376711406880588
bo,1,15,0.33878966058915333,-1.389645776566758,False,306,0.33253938147588763,8,,29.134266061036787,1.3298255131488177,5.260499460008569,0.36756630239588056
bo,1,16,0.32407328528492674,0.16348773841961872,True,0,0.32407328528492674,8,,5.3053545787319045,0.823695076646816,3.932663645747784,1.1794419048603908
bo,1,17,0.31949782688630374,0.3088101725703907,True,0,0.31949782688630374,8,,11.081494669248912,0.12408120389272924,1.5504256496197608,1.324834377527634
